,Country,Province,Year,T_TL,T_00_004,Total_Measles_GE1,Total_Measles_L1,Total_Measles2_GE1,Total_Measles2_L1,Total_YF_L1,Total_YF_GE1,Measles_Outbreak
0,Rwanda,East,2023.0,469108,65926.0,8.0,15399.0,14551.0,,0.0,0.0,55.0
1,Rwanda,North,2023.0,329813,38621.0,2.0,10152.0,9254.0,,0.0,0.0,22.0
2,Rwanda,North,2023.0,319159,35595.0,1.0,8815.0,8791.0,,0.0,0.0,45.0
3,Rwanda,Kigali City,2023.0,915806,117106.0,9.0,22945.0,20156.0,,0.0,0.0,32.0
4,Rwanda,East,2023.0,680614,89260.0,9.0,14432.0,13485.0,,0.0,0.0,36.0
5,Rwanda,North,2023.0,442057,49044.0,0.0,11322.0,11167.0,,0.0,0.0,99.0
6,Rwanda,South,2023.0,366731,51316.0,6.0,11114.0,10621.0,,0.0,0.0,18.0
7,Rwanda,South,2023.0,375193,45256.0,3.0,9974.0,9433.0,,0.0,0.0,19.0
8,Rwanda,South,2023.0,414941,49744.0,5.0,10330.0,9597.0,,0.0,0.0,62.0
9,Rwanda,West,2023.0,362793,44844.0,32.0,9568.0,8635.0,,0.0,0.0,50.0
10,Rwanda,East,2023.0,545208,73527.0,29.0,12109.0,10756.0,,0.0,0.0,30.0
11,Rwanda,Kigali City,2023.0,491464,55833.0,4.0,12471.0,11225.0,,0.0,0.0,46.0
12,Rwanda,East,2023.0,471278,61954.0,24.0,12220.0,11287.0,,0.0,0.0,127.0
13,Rwanda,South,2023.0,326319,35053.0,2.0,9020.0,8907.0,,0.0,0.0,19.0
14,Rwanda,North,2023.0,439040,51790.0,11.0,12404.0,11785.0,,0.0,0.0,67.0
15,Rwanda,East,2023.0,449012,61872.0,8.0,10599.0,9778.0,,0.0,0.0,25.0
16,Rwanda,West,2023.0,358980,46451.0,3.0,8634.0,7592.0,,0.0,0.0,43.0
17,Rwanda,West,2023.0,294476,37446.0,23.0,8542.0,7441.0,,0.0,0.0,23.0
18,Rwanda,East,2023.0,917054,125184.0,17.0,18310.0,16063.0,,0.0,0.0,32.0
19,Rwanda,South,2023.0,387128,45499.0,12.0,8764.0,8473.0,,0.0,0.0,54.0
20,Rwanda,West,2023.0,408298,53074.0,2.0,10706.0,10582.0,,0.0,0.0,73.0
21,Rwanda,South,2023.0,436868,55273.0,7.0,9078.0,8624.0,,0.0,0.0,21.0
22,Rwanda,Kigali City,2023.0,357561,42928.0,3.0,10939.0,10025.0,,0.0,0.0,37.0
23,Rwanda,South,2023.0,351287,43877.0,8.0,8205.0,7670.0,,0.0,0.0,28.0
24,Rwanda,West,2023.0,574548,76411.0,56.0,15086.0,12491.0,,0.0,0.0,38.0
25,Rwanda,South,2023.0,386363,47197.0,4.0,9184.0,9144.0,,0.0,0.0,68.0
26,Rwanda,North,2023.0,300357,33964.0,1.0,9056.0,8537.0,,0.0,0.0,34.0
27,Rwanda,West,2023.0,448512,60025.0,0.0,13872.0,13509.0,,0.0,0.0,50.0
28,Rwanda,West,2023.0,364656,46121.0,27.0,9247.0,7934.0,,0.0,0.0,8.0
29,Rwanda,East,2023.0,415917,54689.0,0.0,12490.0,11311.0,,0.0,0.0,41.0
31,Senegal,DAKAR,2023.0,4135588,560942.0,0.0,13295.0,,11301.0,5.0,0.0,228.0
